village_id,src_file,feature_idx,village_name,state,district,taluka,census_code,polygon_area_km2,multi_cell_flag,duplicate_code_flag,centroid_lat,centroid_lon,node_lat,node_lon,node_i,node_j,fine_elev_m,era5_elev_m,srtm_node_elev_m,dz_era5_m,dt_era5_c,direction,materiality,dz_srtm_m,dt_srtm_c,t_fine_mean_c,t_fine_max_c,t_fine_min_c,rh_downscaled_pct,rh_clamped_flag,eto_hs_mm_day,heat_stress_flag,high_irrigation_flag,wind_block_status,wind_tpi_status
ka.geojson:21868,ka.geojson,21868,Guddethota,KA,Chikmagalur,Koppa,70030003000300038,7.2819,1,0,13.35683,75.36236,13.25,75.25,17,7,836.8,528.6,875.1,308.2,-2.0,COOLING,MATERIAL,-38.2,0.25,20.25,23.25,17.25,100.0,1,3.32,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21916,ka.geojson,21916,Haralane,KA,Chikmagalur,Koppa,70030003000300049,7.915,0,0,13.33734,75.29968,13.25,75.25,17,7,846.2,528.6,875.1,317.6,-2.06,COOLING,MATERIAL,-28.9,0.19,20.19,23.19,17.19,100.0,1,3.31,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21913,ka.geojson,21913,Hadi,KA,Chikmagalur,Sringeri,70060006000600042,9.8831,0,0,13.31972,75.20764,13.25,75.25,17,7,864.6,528.6,875.1,336.0,-2.18,COOLING,MATERIAL,-10.4,0.07,20.07,23.07,17.07,100.0,1,3.3,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21849,ka.geojson,21849,Heggaru,KA,Chikmagalur,Koppa,70030003000300051,10.4977,1,0,13.35892,75.30318,13.25,75.25,17,7,872.7,528.6,875.1,344.1,-2.24,COOLING,MATERIAL,-2.3,0.02,20.02,23.02,17.02,100.0,1,3.3,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21862,ka.geojson,21862,Vate Bachalakhan,KA,Chikmagalur,Koppa,70030003000300037,1.537,1,0,13.37312,75.37367,13.25,75.25,17,7,889.5,528.6,875.1,360.9,-2.35,COOLING,MATERIAL,14.5,-0.09,19.91,22.91,16.91,100.0,1,3.29,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21934,ka.geojson,21934,Hadikiruru,KA,Chikmagalur,Sringeri,70060006000600041,6.997,0,0,13.31335,75.21499,13.25,75.25,17,7,891.2,528.6,875.1,362.6,-2.36,COOLING,MATERIAL,16.1,-0.1,19.9,22.9,16.9,100.0,1,3.28,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21956,ka.geojson,21956,Sheerlu,KA,Chikmagalur,Sringeri,70060006000600045,40.406,0,0,13.28118,75.16884,13.25,75.25,17,7,897.4,528.6,875.1,368.8,-2.4,COOLING,MATERIAL,22.3,-0.15,19.86,22.86,16.86,100.0,1,3.28,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:22237,ka.geojson,22237,Kalasa,KA,Chikmagalur,Mudigere,70040004000400128,26094.3671,1,0,13.23787,75.34778,13.25,75.25,17,7,933.6,528.6,875.1,405.0,-2.63,COOLING,MATERIAL,58.5,-0.38,19.62,22.62,16.62,100.0,1,3.26,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:22247,ka.geojson,22247,Herthanakudige,KA,Chikmagalur,Koppa,70030003000300044,1809.8094,0,0,13.32156,75.36844,13.25,75.25,17,7,938.9,528.6,875.1,410.3,-2.67,COOLING,MATERIAL,63.9,-0.42,19.59,22.59,16.59,100.0,1,3.26,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21920,ka.geojson,21920,Balagere,KA,Chikmagalur,Sringeri,70060006000600040,29.93,0,0,13.30147,75.24371,13.25,75.25,17,7,955.4,528.6,875.1,426.8,-2.77,COOLING,MATERIAL,80.3,-0.52,19.48,22.48,16.48,100.0,1,3.25,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21917,ka.geojson,21917,Bethadakolalu,KA,Chikmagalur,Koppa,70030003000300045,9416.2264,1,0,13.32727,75.36928,13.25,75.25,17,7,986.2,528.6,875.1,457.6,-2.97,COOLING,MATERIAL,111.1,-0.72,19.28,22.28,16.28,100.0,1,3.23,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:22063,ka.geojson,22063,Kudremukh Notified Area Nac,KA,Chikmagalur,Mudigere,7105000,47.4538,0,0,13.18211,75.24923,13.25,75.25,17,7,990.2,528.6,875.1,461.6,-3.0,COOLING,MATERIAL,115.1,-0.75,19.25,22.25,16.25,100.0,1,3.23,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21928,ka.geojson,21928,Megur,KA,Chikmagalur,Koppa,70030003000300048,16.941,0,0,13.31485,75.28721,13.25,75.25,17,7,1023.1,528.6,875.1,494.5,-3.21,COOLING,MATERIAL,148.1,-0.96,19.04,22.04,16.04,100.0,1,3.21,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21935,ka.geojson,21935,Kallugudde,KA,Chikmagalur,Koppa,70030003000300047,24.4322,0,0,13.30266,75.32443,13.25,75.25,17,7,1023.2,528.6,875.1,494.6,-3.22,COOLING,MATERIAL,148.1,-0.96,19.04,22.04,16.04,100.0,1,3.21,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21988,ka.geojson,21988,Kalakodu,KA,Chikmagalur,Mudigere,70040004000400130,28.6846,0,0,13.23699,75.29041,13.25,75.25,17,7,1026.7,528.6,875.1,498.1,-3.24,COOLING,MATERIAL,151.6,-0.99,19.02,22.02,16.02,100.0,1,3.21,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21947,ka.geojson,21947,Attikudige,KA,Chikmagalur,Koppa,70030003000300046,10.3227,1,0,13.30503,75.36308,13.25,75.25,17,7,1049.4,528.6,875.1,520.8,-3.39,COOLING,MATERIAL,174.3,-1.13,18.87,21.87,15.87,100.0,1,3.19,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21986,ka.geojson,21986,Hornadu,KA,Chikmagalur,Mudigere,70040004000400131,29.8151,0,0,13.27214,75.34027,13.25,75.25,17,7,1051.9,528.6,875.1,523.3,-3.4,COOLING,MATERIAL,176.9,-1.15,18.85,21.85,15.85,100.0,1,3.19,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:22013,ka.geojson,22013,Samse,KA,Chikmagalur,Mudigere,70040004000400129,57853.2271,1,0,13.19014,75.27574,13.25,75.25,17,7,1091.9,528.6,875.1,563.3,-3.66,COOLING,MATERIAL,216.9,-1.41,18.59,21.59,15.59,100.0,1,3.17,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
